ID,Type,Inorganic.Material,Organic.Material,MAT,Targeting,NM.ID,Shape,Charge,PDI,NM.TEM.Size..nm.,Size,Zeta,Tumor_model,Cancer_type,Tumor.Cell.Line,Admin.Dose..mg.kg.,Admin_frequency,Frequency,Sex,Animal,String,Route,Route_ori,TSz_init,TSz_therapy,TSz_control,Time,Tumor.volume,untreated.volume,TGI,TGI.,TGI_cat,Ref..ID..Author..Year.,Year,New.Ref..No.,BW..g.,Drug.1,Dose.1,Dose_1_total,Drug.2,Dose.2,Dose_2_total,Codelivery,Techen,Dosing.Time,PT,PATC,KTRESrelease,KTRESn,KTRES50,KTRESmax,AUCTumor,DE24,DE168,DEmax
1,Organic,,Liposome,Liposome,Active,FA-DTCR-NLC,Spherical,Positive,0.327,,180.8,15,AO,Lung,chemical-induced,DT: 10; CUR: 5,Multiple,12,Male/Female,mice,BALB/c,iv,iv,NA,1.11,67.7777,42,1.11,67.7777,0.983622932,98.3622932,High,"Rawal, 2021",2021,33215254,25,DTX,10,120,CUR,5,60,Combination,No,"0,3,7,10,14,17,21,24,28,31,35,38",0.077564105,0.044384822,0.5786466,0.04167459,19.074432,0.7548698,2813.92562,1.922249777,0.046687232,2.360681786
2,Organic,,Liposome,Liposome,Passive,DTCR-NLCs,Spherical,Positive,0.263,,150.2,26.3,AO,Lung,chemical-induced,DT: 10; CUR: 5,Multiple,12,Male/Female,mice,BALB/c,iv,iv,NA,15.32,67.7777,42,15.31914894,67.7777,0.77397951,77.397951,High,"Rawal, 2021",2021,33215254,25,DTX,10,120,CUR,5,60,Combination,No,"0,3,7,10,14,17,21,24,28,31,35,38",0.17870565,0.04130989,0.030630797,0.88590336,18.400389,1.3960469,141635.7445,22.14628247,10.75698817,43.40397312
3,Inorganic,Se,,In_Others,Active,T7-SF-Se,Spherical,Neutral,,120,100,-5.17,XH,Others,K1,5,Multiple,7,Female,mice,BALB/c nude,iv,iv,100,409.8101266,684.4936709,14,409.8101266,684.4936709,0.401294498,40.1294498,Low,"Zou, 2021",2021,33438446,19,NP,5,35,NA,NA,NA,NP,No,"0,2,4,6,8,10,12",0.03440501,0.011426368,0.6615538,2.9505553,3.1990585,0.7096802,611.3932817,1.076018074,0.167082053,1.571467892
4,Inorganic,Se,,In_Others,Passive,SF-Se,Spherical,Negative,,120,80,-23.4,XH,Others,K1,5,Multiple,7,Female,mice,BALB/c nude,iv,iv,100,482.9113924,684.4936709,14,482.9113924,684.4936709,0.294498382,29.4498382,Low,"Zou, 2021",2021,33438446,19,NP,5,35,NA,NA,NA,NP,No,"0,2,4,6,8,10,12",0.035155725,0.0443138,0.61830497,1.0593262,12.616924,4.474056,2058.549843,2.854914276,0.702295901,5.072496227
12,Organic,,Polymeric,Polymeric,Passive,GEM-PT PLGA NPs,Spherical,Neutral,0.159,,83.2,-6.3,XH,Prostate,CNE2,10,Multiple,3,,mice,BALB/c nude,iv,iv,60,127.3291925,1993.78882,30,127.3291925,1993.78882,0.936137072,93.6137072,High,"Liu,2021",2021,33866910,NA,GEM,0.43,1.29,Pt,0.95,2.85,Combination,No,"0,3,6",0.13553752,0.009932329,0.45469928,2.6828837,56.031796,0.85090387,1668.669582,2.205340872,1.066074971,4.165637304
13,Organic,,Polymeric,Polymeric,Passive,Gem PLGA NPs,Spherical,Neutral,0.277,,63.8,5.2,XH,Prostate,CNE2,5,Multiple,3,,mice,BALB/c nude,iv,iv,60,322.9813665,1993.78882,30,322.9813665,1993.78882,0.838006231,83.8006231,High,"Liu,2021",2021,33866910,NA,GEM-np,5,15,NA,0,0,Single,No,"0,3,6",0.1432274,0.010052805,0.4669694,2.6191704,56.461926,0.85879505,1745.887767,2.337965926,1.113695377,4.33260417
14,Organic,,Polymeric,Polymeric,Passive,PT PLGA NPs,Spherical,Neutral,0.252,,69.3,6.8,XH,Prostate,CNE2,5,Multiple,3,,mice,BALB/c nude,iv,iv,60,444.0993789,1993.78882,30,444.0993789,1993.78882,0.777258567,77.7258567,High,"Liu,2021",2021,33866910,NA,Pt-np,5,15,NA,0,0,Single,No,"0,3,6",0.14456293,0.010064568,0.46997762,2.6212056,56.531605,0.8601276,1757.512318,2.353407027,1.120652544,4.359780596
17,Hybrid,,polymer/lipid,Hybrid,Passive,LPHNP-DTX,Spherical,Neutral,0.11,,126.36,6.12,XO,Breast,MDA-MB-231,10,Multiple,10,Female,mice,BALB/c,iv,iv,100,37.25947522,151.6618076,35,37.25947522,151.6618076,0.75432526,75.432526,High,"Jadon, 2021",2021,33872827,27.5,DTX,10,100,NA,0,0,Single,No,"0,3,7,10,14,17,21,24,28,31",0.013073587,0.011954045,0.7605638,4.0200443,2.8991373,0.73038465,490.5745589,0.388679692,0.009108362,0.457722951
18,Hybrid,,polymer/lipid,Hybrid,Passive,pHS-LPHNPs-DTX,Spherical,Negative,0.18,,151.36,-12.31,XO,Breast,MDA-MB-231,10,Multiple,10,Female,mice,BALB/c,iv,iv,100,22.04081633,151.6618076,35,22.04081633,151.6618076,0.85467128,85.467128,High,"Jadon, 2021",2021,33872827,27.5,DTX,10,100,NA,0,0,Single,No,"0,3,7,10,14,17,21,24,28,31",0.078923285,0.03698685,0.4675078,1.5479999,1.5240846,0.8365592,4183.938295,3.233841538,0.078816674,3.595399137
20,Inorganic,Iron_Oxide,chitosan,Iron_Oxide,Passive,Cab@MPN/CS,Spherical,Positive,,,175.6,31.5,AH,Skin,B16F10,Cab： 8； MPN: 7,Multiple,4,Female,mice,C57BL/6,iv,iv,80,118.5566029,1985.261354,10,118.5566029,1985.261354,0.940281614,94.0281614,High,"Mu,2021",2021,33910734,NA,Cab,8,32,NA,0,0,Single,No,"0,3,6,9",0.031772964,0.03499756,1.6956229,2.1900287,27.522154,0.8442286,249.2244763,0.560399809,0.092441755,0.866897487
21,Inorganic,Iron_Oxide,,Iron_Oxide,Passive,Cab@MPN,Spherical,Negative,,,134.5,-12.1,AH,Skin,B16F10,Cab： 8； MPN: 7,Multiple,4,Female,mice,C57BL/6,iv,iv,80,318.5185185,1985.261354,10,318.5185185,1985.261354,0.839558395,83.9558395,High,"Mu,2021",2021,33910734,NA,Cab,8,32,NA,0,0,Single,No,"0,3,6,9",0.04400803,0.058388263,2.2241569,3.6365094,35.86799,0.90743244,322.9326048,0.690676368,0.120492521,1.198281968
